icd10c;icd103c;icd104c;icd10n;icd103n;icd104n;icd11c1;icd11c2;icd11c3;icd11l1;icd11l2;icd11l3;Disease;Definition
A00-A09;A00;A000;Intestinal infectious diseases;Cholera;Classical cholera;1;A00;1A00;Certain infectious or parasitic diseases  ;Gastroenteritis or colitis of infectious origin  ;Bacterial intestinal infections  ;Cholera;Intestinal infection due to Vibrio cholerae
A00-A09;A01;A010;Intestinal infectious diseases;Typhoid and paratyphoid fevers;Typhoid fever;1;A07;1A07;Certain infectious or parasitic diseases  ;Gastroenteritis or colitis of infectious origin  ;Bacterial intestinal infections  ;Typhoid fever;A condition caused by an infection with the gram-negative bacteria Salmonella typhi. This condition is characterised by an acute sustained fever. This condition may present with weakness, stomach pains, headache, loss of appetite, or flat, rose-coloured spots. Transmission is by the faecal-oral route from the ingestion of contaminated food or water. Confirmation is by identification of Salmonella typhi in a faecal or blood sample.
A00-A09;A02;A029;Intestinal infectious diseases;Other salmonella infections;Salmonella infection, unspecified;1;A09;1A09;Certain infectious or parasitic diseases  ;Gastroenteritis or colitis of infectious origin  ;Bacterial intestinal infections  ;Infections due to other Salmonella;Infection or foodborne intoxication due to any Salmonella species other than S. typhi and S. paratyphi
A00-A09;A03;A031;Intestinal infectious diseases;Shigellosis;Shigellosis due to Shigella flexneri;1;A02;1A02;Certain infectious or parasitic diseases  ;Gastroenteritis or colitis of infectious origin  ;Bacterial intestinal infections  ;Intestinal infections due to Shigella;A disease caused by an infection with the gram-negative bacteria Shigella. This disease is characterised by an acute onset of small volume diarrhoea, accompanied by fever and nausea. This disease may also present with toxaemia, vomiting, cramps, and tenesmus. Transmission is by ingestion of contaminated food, or direct contact. Confirmation is by identification of Shigella in a faecal sample.
A00-A09;A05;A050;Intestinal infectious diseases;Other bacterial foodborne intoxications, not elsewhere classified;Foodborne staphylococcal intoxication;1;A10;1A10;Certain infectious or parasitic diseases  ;Gastroenteritis or colitis of infectious origin  ;Bacterial foodborne intoxications;Foodborne staphylococcal intoxication;Foodborne staphylococcal intoxication
A00-A09;A05;A051;Intestinal infectious diseases;Other bacterial foodborne intoxications, not elsewhere classified;Botulism;1;A11;1A11;Certain infectious or parasitic diseases  ;Gastroenteritis or colitis of infectious origin  ;Bacterial foodborne intoxications;Botulism;A disease caused by an infection with the gram-positive bacteria Clostridium botulinum. This disease commonly presents with abdominal pain, vomiting, acute paralysis, blurred vision, diplopia, and may be fatal. Transmission is by ingestion of contaminated food, direct contact, or from accidental overdose. Confirmation is by identification of Clostridium botulinum in a faecal or food sample.
A00-A09;A05;A059;Intestinal infectious diseases;Other bacterial foodborne intoxications, not elsewhere classified;Bacterial foodborne intoxication, unspecified;1;A1Z;1A1Z;Certain infectious or parasitic diseases  ;Gastroenteritis or colitis of infectious origin  ;Bacterial foodborne intoxications;Bacterial foodborne intoxications, unspecified;Any condition caused by an infection with a bacterial source. Transmission is by ingestion of contaminated food.
A00-A09;A09;A090;Intestinal infectious diseases;Other gastroenteritis and colitis of infectious and unspecified origin;Other and unspecified gastroenteritis and colitis of infectious origin;1;A40;1A40;Certain infectious or parasitic diseases  ;Gastroenteritis or colitis of infectious origin  ;Gastroenteritis or colitis without specification of infectious agent;Infectious gastroenteritis or colitis without specification of infectious agent;
A15-A19;A15;A159;Tuberculosis;Respiratory tuberculosis, bacteriologically and histologically confirmed;Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically;1;B10;1B10;Certain infectious or parasitic diseases  ;Mycobacterial diseases;Tuberculosis;Tuberculosis of the respiratory system;This is a progressive or chronic disease resulting from infection with the bacterium Mycobacterium tuberculosis or those in the M. tuberculosis complex: M. bovis, M. africanum, M. canetti, and M. microti. The infection is limited to the respiratory system.
A20-A28;A20;A200;Certain zoonotic bacterial diseases;Plague;Bubonic plague;1;B93;1B93;Certain infectious or parasitic diseases  ;Certain zoonotic bacterial diseases;Plague;Bubonic plague;A disease caused by an infection with the gram-negative bacteria Yersinia pestis. This disease commonly presents with an infection of the lymph nodes leading to swelling and pain. This disease may also present with gangrene of the extremities, chills, malaise, high fever, muscle cramps, or seizures. Transmission is through the bite of an infected flea, by direct contact, or by droplet transmission.
