,Entity,Code,Year,yaws,polio,guinea worm,rabies,malaria,hiv/aids,tuberculosis,smallpox,cholera,date
10316,World,OWID_WRL,1920,,,,,,,,401318.0,,1920-01-01
10317,World,OWID_WRL,1921,,,,,,,,303850.0,,1921-01-01
10318,World,OWID_WRL,1922,,,,,,,,190159.0,,1922-01-01
10319,World,OWID_WRL,1923,,,,,,,,174799.0,,1923-01-01
10320,World,OWID_WRL,1924,,,,,,,,186354.0,,1924-01-01
10321,World,OWID_WRL,1925,,,,,,,,284845.0,,1925-01-01
10322,World,OWID_WRL,1926,,,,,,,,324125.0,,1926-01-01
10323,World,OWID_WRL,1927,,,,,,,,327289.0,,1927-01-01
10324,World,OWID_WRL,1928,,,,,,,,272529.0,,1928-01-01
10325,World,OWID_WRL,1929,,,,,,,,267322.0,,1929-01-01
10326,World,OWID_WRL,1930,,,,,,,,360575.0,,1930-01-01
10327,World,OWID_WRL,1931,,,,,,,,182829.0,,1931-01-01
10328,World,OWID_WRL,1932,,,,,,,,211274.0,,1932-01-01
10329,World,OWID_WRL,1933,,,,,,,,328212.0,,1933-01-01
10330,World,OWID_WRL,1934,,,,,,,,327373.0,,1934-01-01
10331,World,OWID_WRL,1935,,,,,,,,331151.0,,1935-01-01
10332,World,OWID_WRL,1936,,,,,,,,263579.0,,1936-01-01
10333,World,OWID_WRL,1937,,,,,,,,149184.0,,1937-01-01
10334,World,OWID_WRL,1938,,,,,,,,144042.0,,1938-01-01
10335,World,OWID_WRL,1939,,,,,,,,186393.0,,1939-01-01
10336,World,OWID_WRL,1940,,,,,,,,235820.0,,1940-01-01
10337,World,OWID_WRL,1941,,,,,,,,195863.0,,1941-01-01
10338,World,OWID_WRL,1942,,,,,,,,124504.0,,1942-01-01
10339,World,OWID_WRL,1943,,,,,,,,210358.0,,1943-01-01
10340,World,OWID_WRL,1944,,,,,,,,407525.0,,1944-01-01
10341,World,OWID_WRL,1945,,,,,,,,405833.0,,1945-01-01
10342,World,OWID_WRL,1946,,,,,,,,302694.0,,1946-01-01
10343,World,OWID_WRL,1947,,,,,,,,163375.0,,1947-01-01
10344,World,OWID_WRL,1948,,,,,,,,161893.0,,1948-01-01
514,Asia,,1949,,,,,,,,,17.0,1949-01-01
1911,China,CHN,1949,,,,,,,,,1.0,1949-01-01
9318,Thailand,THA,1949,,,,,,,,,16.0,1949-01-01
10345,World,OWID_WRL,1949,,,,,,,,632858.0,17.0,1949-01-01
515,Asia,,1950,,,,,,,,,34665.0,1950-01-01
854,Bangladesh,BGD,1950,,,,,,,,,29809.0,1950-01-01
1580,Cambodia,KHM,1950,,,,,,,,,10.0,1950-01-01
4205,India,IND,1950,,,,,,,,,625.0,1950-01-01
6252,Myanmar,MMR,1950,,,,,,,,,4212.0,1950-01-01
10151,Vietnam,VNM,1950,,,,,,,,,9.0,1950-01-01
10346,World,OWID_WRL,1950,,,,,,,,426006.0,34665.0,1950-01-01
516,Asia,,1951,,,,,,,,,114518.0,1951-01-01
855,Bangladesh,BGD,1951,,,,,,,,,20894.0,1951-01-01
1581,Cambodia,KHM,1951,,,,,,,,,57.0,1951-01-01
4206,India,IND,1951,,,,,,,,,86787.0,1951-01-01
6253,Myanmar,MMR,1951,,,,,,,,,6753.0,1951-01-01
9319,Thailand,THA,1951,,,,,,,,,1.0,1951-01-01
10152,Vietnam,VNM,1951,,,,,,,,,26.0,1951-01-01
10347,World,OWID_WRL,1951,,,,,,,,554756.0,114518.0,1951-01-01
517,Asia,,1952,,,,,,,,,123025.0,1952-01-01
856,Bangladesh,BGD,1952,,,,,,,,,21154.0,1952-01-01
1582,Cambodia,KHM,1952,,,,,,,,,24.0,1952-01-01
4207,India,IND,1952,,,,,,,,,101493.0,1952-01-01
6254,Myanmar,MMR,1952,,,,,,,,,347.0,1952-01-01
10153,Vietnam,VNM,1952,,,,,,,,,7.0,1952-01-01
10348,World,OWID_WRL,1952,,,,,,,,167085.0,123025.0,1952-01-01
518,Asia,,1953,,,,,,,,,240927.0,1953-01-01
857,Bangladesh,BGD,1953,,,,,,,,,27631.0,1953-01-01
1583,Cambodia,KHM,1953,,,,,,,,,11.0,1953-01-01
4208,India,IND,1953,,,,,,,,,213225.0,1953-01-01
